country_code,country_name_en,country_name_ko,capital,currency,timezone,primary_language,monthly_cost_usd_mid,rent_1br_city_usd,meal_avg_usd,transport_monthly_usd,internet_speed_mbps,internet_reliability,avg_temp_celsius,climate_type,rainy_season,dry_season,coworking_spaces_level,english_level,gpi_rank_2024,nomad_popularity_rank,nomad_visa_available,notes,last_verified,schengen,cost_tier,tax_residency_days,double_tax_treaty_with_kr
ALB,Albania,알바니아,Tirana,ALL,UTC+1,Albanian,1100,500,7,25,80,보통,15,지중해 (해안)/대륙성 (내륙),11월~3월,4월~10월,보통,보통,55,28,Y,공식 디지털 이동근로자(leje unike për punonjës lëvizës digjital) 제도 유지; 최초 1년·갱신 가능·서비스 수수료 4500lek(갱신 2250lek)·e-Albania 서비스 15146 확인; EU 솅겐 비가입; 발칸 반도; 저렴한 유럽 물가; EU 가입 후보국,2026-06-28,N,low,183,N
ARE,UAE (Dubai),아랍에미리트 (두바이),Abu Dhabi / Dubai,AED,UTC+4,Arabic/English,4000,2200,15,80,200,매우높음,28,사막,없음 (드문 강수),10월~5월 (온화),매우높음,매우높음,38,25,Y,"Virtual Working Programme 유지; UAE 공식 포털 2026-03-03 업데이트 기준 1년 self-sponsorship 체류와 월 $3,500 급여요건 유지 확인; 건강보험·medical fitness 필요; 여름 혹서 (45°C+).",2026-05-20,N,high,183,N
ARG,Argentina,아르헨티나,Buenos Aires,ARS,UTC-3,Spanish,1500,550,7,40,152,높음,18,아열대 (BA)/온대,3~4월 (BA),없음,높음,보통,78,22,Y,공식 Argentina.gob.ar 및 Disposición 758/2022 기준 180일 체류 후 동일 기간 1회 연장 가능. 최소소득·USD 수수료는 현재 공식 본문에서 확인되지 않아 확인필요; 환율 혜택; 부에노스아이레스 카페 문화,2026-06-07,N,low,183,N
BGR,Bulgaria,불가리아,Sofia,BGN,UTC+2,Bulgarian,1500,550,7,25,180,매우높음,13,대륙성,봄·가을,여름,보통,보통,40,21,Y,"DN 비자 2025년 12월 20일 공식 출시 유지; 솅겐 가입; 저렴한 유럽 물가; 연 €31,000 소득 요건 (평균) 유지; 솅겐 EES는 2026년 4월 10일부터 전면 운영 중.",2026-05-20,Y,low,183,Y
COL,Colombia (Medellín),콜롬비아 (메데진),Bogotá,COP,UTC-5,Spanish,1600,500,6,30,100,높음,22,열대 고원 (메데진 '영원한 봄'),4~5월·10~11월,1~3월·7~9월,매우높음,보통,130,6,Y,공식 V Nómadas Digitales 유지; 최근 3개월 3 SMLMV 소득 증빙과 최대 2년 체류를 재확인; 메데진 노마드 허브; 저렴한 물가,2026-06-07,N,low,183,N
CPV,Cape Verde,카보베르데,Praia,CVE,UTC-1,Portuguese/Creole,1400,550,7,30,40,보통,25,열대 건조,8월~10월,11월~7월,낮음,낮음,45,26,Y,"공식 e-Residencia Nómadas Digitais 페이지 2026-07-02 재확인 기준 원격근무 비자 카테고리와 필수서류(여권·범죄경력·원격근무 연계·소득증빙·숙소·의료진단서) 유지; 신청/조회 흐름은 현재 ""Em manutenção"" 표기; 세부 소득·수수료·기간·갱신 조건은 공개 본문에서 계속 확인필요; 대서양 섬나라; 한적한 노마드 생활 가능",2026-07-02,N,low,183,Y
CRI,Costa Rica,코스타리카,San José,CRC/USD,UTC-6,Spanish,2500,700,10,60,95,높음,24,열대 몬순,5월~11월,12월~4월,높음,보통,40,16,Y,"Ley 10008 및 Reglamento 43619 기준 디지털 노마드 체류 제도 유지; 월 $3,000 소득·1년+1회 연장·정부 수수료 $100 재확인; 생태 관광 허브",2026-06-07,N,medium,183,N
CZE,Czech Republic,체코,Prague,CZK,UTC+1,Czech,2300,1100,10,30,160,매우높음,10,대륙성,봄·가을,여름,높음,높음,11,13,N,전용 단일 DN 비자는 없지만 체코 정부의 Digital Nomad Program(IT/마케팅 직군 대상 장기비자·거주허가 패스트트랙)은 운영 중; 프라하 인프라 우수; Schengen EES 운영은 2025-10-12 시작 후 2026-04-10 전면 시행 완료(European Commission/eu-LISA).,2026-06-28,Y,medium,183,Y
DEU,Germany,독일,Berlin,EUR,UTC+1,German,3000,1500,15,90,150,매우높음,10,온대 해양성/대륙성,가을~봄,여름,매우높음,매우높음,20,17,N,전용 DN 비자 없음; Freiberufler/자영업 체류허가 활용; 최초 최대 3년·연장 가능 공식 재확인; Schengen EES 운영은 2025-10-12 시작 후 2026-04-10 전면 시행 완료(European Commission/eu-LISA).,2026-06-28,Y,high,183,Y
ESP,Spain,스페인,Madrid,EUR,UTC+1 (mainland) / UTC+0 (Canary Islands),Spanish,2500,1000,13,50,170,매우높음,22,지중해성/대륙성/아열대(카나리아 제도),11월~2월,5월~9월,높음,보통,34,5,Y,"DN 비자 유지; 주한 스페인대사관 Telework visa 안내 기준 해외 신청 비자는 1년 유효하고 스페인 체류 중 신청 시 최대 3년 거주허가 가능; 최소 소득은 스페인 SMI 200%(€2,160) 기준으로 안내됨; Schengen EES는 2026-04-10부터 전면 운영 중.",2026-06-26,Y,medium,183,Y
EST,Estonia,에스토니아,Tallinn,EUR,UTC+2,Estonian,2200,800,12,30,150,매우높음,7,북부 해양성,가을~봄,여름,높음,매우높음,15,12,Y,Digital Nomad Visa 유지; 2026-06 공식 안내 기준 teleworking 소득요건 €3960/월 및 D비자 수수료 €120 재확인; e-Residency 프로그램 유명; Schengen EES는 2026-04-10 전면 시행됨.,2026-06-28,Y,medium,183,N
GEO,Georgia,조지아,Tbilisi,GEL,UTC+4,Georgian,1300,700,7,40,150,높음,14,아열대/대륙성,봄·가을 우기,여름·겨울,높음,보통,71,7,Y,한국인 무비자 1년 체류 가능은 공식 관광청 안내로 재확인. 관광청은 Remotely from Georgia를 팬데믹기 프로젝트로 서술하므로 현행 전용 DN 라우트 상세는 확인필요; 2026-03-01부터 원격근무 포함 취업허가 요건 도입,2026-05-21,N,low,180,N
GRC,Greece,그리스,Athens,EUR,UTC+2,Greek,2000,900,12,50,100,높음,18,지중해성,10월~3월,4월~9월,높음,높음,20,32,Y,"그리스 MFA 안내와 MFA가 연결한 Work From Greece 체크리스트 기준 월 순소득 €3,500 및 비자 €75+행정수수료 €150 재확인; 1년 비자 후 2년 거주허가 갱신 경로 유지; EU 솅겐 회원국; 아테네·크레타 인기; Schengen EES 2026-04-10 전면 시행.",2026-06-27,Y,medium,183,Y
HRV,Croatia,크로아티아,Zagreb,EUR,UTC+1,Croatian,2200,750,12,30,130,높음,14,지중해 (해안)/대륙성 (내륙),가을·겨울,봄·여름,보통,높음,22,15,Y,"DN 체류허가 유지; 2026년 기준 월 소득요건 €3,622.50로 상향 공지; 최대 18개월 체류, 최초 허가가 18개월 미만이면 최대 6개월 연장 가능; 스플리트·두브로브니크 인기; EU 솅겐; Schengen EES 2026-04-10 전면 시행.",2026-06-25,Y,medium,183,N
